series,date,type,value
abs,2020-07-01,e0,368749.0
abs,2020-07-01,e1,230700.0
abs,2020-07-01,e2,44729.0
abs,2020-07-01,e3,77344.0
abs,2020-07-01,e4,-13738.0
abs,2020-07-01,e5,226586.0
abs,2020-07-01,e6,196872.0
abs,2020-10-01,e0,379358.0
abs,2020-10-01,e1,222768.0
abs,2020-10-01,e2,57170.0
abs,2020-10-01,e3,74085.0
abs,2020-10-01,e4,-3647.0
abs,2020-10-01,e5,238360.0
abs,2020-10-01,e6,209379.0
abs,2021-01-01,e0,371270.0
abs,2021-01-01,e1,229503.0
abs,2021-01-01,e2,44354.0
abs,2021-01-01,e3,78684.0
abs,2021-01-01,e4,-3493.0
abs,2021-01-01,e5,246246.0
abs,2021-01-01,e6,224025.0
abs,2021-04-01,e0,374428.0
abs,2021-04-01,e1,205043.0
abs,2021-04-01,e2,45194.0
abs,2021-04-01,e3,76636.0
abs,2021-04-01,e4,22243.0
abs,2021-04-01,e5,264782.0
abs,2021-04-01,e6,239471.0
abs,2021-07-01,e0,378487.0
abs,2021-07-01,e1,226701.0
abs,2021-07-01,e2,45647.0
abs,2021-07-01,e3,69376.0
abs,2021-07-01,e4,9735.0
abs,2021-07-01,e5,274844.0
abs,2021-07-01,e6,247817.0
abs,2021-10-01,e0,424517.0
abs,2021-10-01,e1,237112.0
abs,2021-10-01,e2,60512.0
abs,2021-10-01,e3,74006.0
abs,2021-10-01,e4,15473.0
abs,2021-10-01,e5,308023.0
abs,2021-10-01,e6,270609.0
abs,2022-01-01,e0,422454.0
abs,2022-01-01,e1,247029.0
abs,2022-01-01,e2,47758.0
abs,2022-01-01,e3,80793.0
abs,2022-01-01,e4,21890.0
abs,2022-01-01,e5,305106.0
abs,2022-01-01,e6,280122.0
abs,2022-04-01,e0,445013.0
abs,2022-04-01,e1,248515.0
abs,2022-04-01,e2,46941.0
abs,2022-04-01,e3,82990.0
abs,2022-04-01,e4,43784.0
abs,2022-04-01,e5,341985.0
abs,2022-04-01,e6,319202.0
abs,2022-07-01,e0,458256.0
abs,2022-07-01,e1,272391.0
abs,2022-07-01,e2,49392.0
abs,2022-07-01,e3,80537.0
abs,2022-07-01,e4,19970.0
abs,2022-07-01,e5,369843.0
abs,2022-07-01,e6,333876.0
abs,2022-10-01,e0,468181.0
abs,2022-10-01,e1,265483.0
abs,2022-10-01,e2,63782.0
abs,2022-10-01,e3,82355.0
abs,2022-10-01,e4,11223.0
abs,2022-10-01,e5,361684.0
abs,2022-10-01,e6,316347.0
abs,2023-01-01,e0,443332.374
abs,2023-01-01,e1,269078.407
abs,2023-01-01,e2,47590.82
abs,2023-01-01,e3,86351.914
abs,2023-01-01,e4,11272.561
