series,date,sector,value
abs,2015-01-01,p4.2,3786.0
abs,2015-01-01,p4.3,2399.0
abs,2015-01-01,p5,153066.0
abs,2015-01-01,p5.1,32685.0
abs,2015-01-01,p5.1.1,6216.0
abs,2015-01-01,p5.1.2,1306.0
abs,2015-01-01,p5.1.3,10144.0
abs,2015-01-01,p5.1.4,15019.0
abs,2015-01-01,p5.2,51266.0
abs,2015-01-01,p5.2.1,42635.0
abs,2015-01-01,p5.2.1.1,18288.0
abs,2015-01-01,p5.2.1.2,19031.0
abs,2015-01-01,p5.2.1.3,5316.0
abs,2015-01-01,p5.2.2,6788.0
abs,2015-01-01,p5.2.3,1843.0
abs,2015-01-01,p5.3,31939.0
abs,2015-01-01,p5.3.1,14760.0
abs,2015-01-01,p5.3.2,4808.0
abs,2015-01-01,p5.3.3,4228.0
abs,2015-01-01,p5.3.4,8143.0
abs,2015-01-01,p5.4,13996.0
abs,2015-01-01,p5.4.1,1891.0
abs,2015-01-01,p5.4.2,2169.0
abs,2015-01-01,p5.4.6,9936.0
abs,2015-01-01,p5.5,23181.0
abs,2015-01-01,p6,3151.0
abs,2015-04-01,p0,288307.0
abs,2015-04-01,p1,24404.0
abs,2015-04-01,p1.1,16429.0
abs,2015-04-01,p1.1.1,651.0
abs,2015-04-01,p1.1.2,9943.0
abs,2015-04-01,p1.1.7,5835.0
abs,2015-04-01,p1.2,2989.0
abs,2015-04-01,p1.3,2179.0
abs,2015-04-01,p1.4,2806.0
abs,2015-04-01,p1.4.1,1795.0
abs,2015-04-01,p1.4.2,1011.0
abs,2015-04-01,p2,25913.0
abs,2015-04-01,p2.1,12599.0
abs,2015-04-01,p2.2,11559.0
abs,2015-04-01,p2.3,1755.0
abs,2015-04-01,p3,65081.0
abs,2015-04-01,p3.1,8775.0
abs,2015-04-01,p3.1.1,3293.0
abs,2015-04-01,p3.1.2,3322.0
abs,2015-04-01,p3.1.3,1111.0
abs,2015-04-01,p3.1.4,1049.0
abs,2015-04-01,p3.2,1338.0
abs,2015-04-01,p3.2.1,1146.0
abs,2015-04-01,p3.2.2,192.0
abs,2015-04-01,p3.3,3418.0
abs,2015-04-01,p3.3.1,1546.0
abs,2015-04-01,p3.3.2,1019.0
abs,2015-04-01,p3.3.3,853.0
abs,2015-04-01,p3.4,18401.0
abs,2015-04-01,p3.4.1,8119.0
abs,2015-04-01,p3.4.2,6765.0
abs,2015-04-01,p3.4.3,1467.0
abs,2015-04-01,p3.4.4,2050.0
abs,2015-04-01,p3.5,8592.0
abs,2015-04-01,p3.5.1,2786.0
abs,2015-04-01,p3.5.2,1985.0
abs,2015-04-01,p3.5.3,3821.0
abs,2015-04-01,p3.6,16427.0
abs,2015-04-01,p3.6.1,1940.0
abs,2015-04-01,p3.6.2,1289.0
abs,2015-04-01,p3.6.3,1497.0
abs,2015-04-01,p3.6.4,10553.0
abs,2015-04-01,p3.6.5,1148.0
abs,2015-04-01,p3.7,8126.0
abs,2015-04-01,p3.7.1,6279.0
abs,2015-04-01,p3.7.2,1044.0
abs,2015-04-01,p3.7.3,803.0
abs,2015-04-01,p4,12927.0
abs,2015-04-01,p4.1,7078.0
abs,2015-04-01,p4.1.1,3491.0
abs,2015-04-01,p4.1.2,3587.0
abs,2015-04-01,p4.2,3545.0
abs,2015-04-01,p4.3,2303.0
abs,2015-04-01,p5,156236.0
abs,2015-04-01,p5.1,33749.0
abs,2015-04-01,p5.1.1,6528.0
abs,2015-04-01,p5.1.2,1449.0
abs,2015-04-01,p5.1.3,10225.0
abs,2015-04-01,p5.1.4,15547.0
abs,2015-04-01,p5.2,51985.0
abs,2015-04-01,p5.2.1,43230.0
abs,2015-04-01,p5.2.1.1,19823.0
abs,2015-04-01,p5.2.1.2,18172.0
abs,2015-04-01,p5.2.1.3,5235.0
abs,2015-04-01,p5.2.2,6822.0
abs,2015-04-01,p5.2.3,1933.0
abs,2015-04-01,p5.3,32175.0
abs,2015-04-01,p5.3.1,14992.0
abs,2015-04-01,p5.3.2,4392.0
abs,2015-04-01,p5.3.3,4337.0
abs,2015-04-01,p5.3.4,8454.0
abs,2015-04-01,p5.4,14387.0
abs,2015-04-01,p5.4.1,2053.0
abs,2015-04-01,p5.4.2,2228.0
abs,2015-04-01,p5.4.6,10106.0
abs,2015-04-01,p5.5,23940.0
abs,2015-04-01,p6,3747.0
abs,2015-07-01,p0,297422.0
abs,2015-07-01,p1,26956.0
abs,2015-07-01,p1.1,17360.0
abs,2015-07-01,p1.1.1,865.0
abs,2015-07-01,p1.1.2,10380.0
abs,2015-07-01,p1.1.7,6115.0
abs,2015-07-01,p1.2,3380.0
abs,2015-07-01,p1.3,2601.0
abs,2015-07-01,p1.4,3615.0
abs,2015-07-01,p1.4.1,2417.0
abs,2015-07-01,p1.4.2,1198.0
abs,2015-07-01,p2,23605.0
abs,2015-07-01,p2.1,10672.0
abs,2015-07-01,p2.2,11114.0
abs,2015-07-01,p2.3,1820.0
abs,2015-07-01,p3,66415.0
abs,2015-07-01,p3.1,8636.0
abs,2015-07-01,p3.1.1,3205.0
abs,2015-07-01,p3.1.2,3403.0
abs,2015-07-01,p3.1.3,1063.0
abs,2015-07-01,p3.1.4,965.0
abs,2015-07-01,p3.2,1233.0
abs,2015-07-01,p3.2.1,1078.0
abs,2015-07-01,p3.2.2,155.0
abs,2015-07-01,p3.3,3583.0
abs,2015-07-01,p3.3.1,1733.0
abs,2015-07-01,p3.3.2,1061.0
abs,2015-07-01,p3.3.3,789.0
abs,2015-07-01,p3.4,20418.0
abs,2015-07-01,p3.4.1,8407.0
abs,2015-07-01,p3.4.2,7373.0
abs,2015-07-01,p3.4.3,1919.0
abs,2015-07-01,p3.4.4,2719.0
abs,2015-07-01,p3.5,8066.0
abs,2015-07-01,p3.5.1,2752.0
abs,2015-07-01,p3.5.2,1956.0
abs,2015-07-01,p3.5.3,3358.0
abs,2015-07-01,p3.6,17121.0
abs,2015-07-01,p3.6.1,1914.0
abs,2015-07-01,p3.6.2,1376.0
abs,2015-07-01,p3.6.3,1120.0
abs,2015-07-01,p3.6.4,11535.0
abs,2015-07-01,p3.6.5,1176.0
abs,2015-07-01,p3.7,7360.0
abs,2015-07-01,p3.7.1,5380.0
abs,2015-07-01,p3.7.2,907.0
abs,2015-07-01,p3.7.3,1073.0
abs,2015-07-01,p4,14332.0
abs,2015-07-01,p4.1,7727.0
abs,2015-07-01,p4.1.1,3812.0
abs,2015-07-01,p4.1.2,3915.0
abs,2015-07-01,p4.2,4226.0
abs,2015-07-01,p4.3,2380.0
abs,2015-07-01,p5,162493.0
abs,2015-07-01,p5.1,34633.0
abs,2015-07-01,p5.1.1,6534.0
abs,2015-07-01,p5.1.2,1561.0
abs,2015-07-01,p5.1.3,10557.0
abs,2015-07-01,p5.1.4,15981.0
abs,2015-07-01,p5.2,56305.0
abs,2015-07-01,p5.2.1,47255.0
abs,2015-07-01,p5.2.1.1,21529.0
abs,2015-07-01,p5.2.1.2,19252.0
abs,2015-07-01,p5.2.1.3,6474.0
abs,2015-07-01,p5.2.2,7019.0
abs,2015-07-01,p5.2.3,2031.0
abs,2015-07-01,p5.3,32022.0
abs,2015-07-01,p5.3.1,14888.0
abs,2015-07-01,p5.3.2,4341.0
abs,2015-07-01,p5.3.3,4474.0
abs,2015-07-01,p5.3.4,8319.0
abs,2015-07-01,p5.4,14628.0
abs,2015-07-01,p5.4.1,2035.0
abs,2015-07-01,p5.4.2,2425.0
abs,2015-07-01,p5.4.6,10168.0
abs,2015-07-01,p5.5,24905.0
abs,2015-07-01,p6,3621.0
abs,2015-10-01,p0,309569.0
abs,2015-10-01,p1,24415.0
abs,2015-10-01,p1.1,16206.0
abs,2015-10-01,p1.1.1,896.0
abs,2015-10-01,p1.1.2,10042.0
abs,2015-10-01,p1.1.7,5268.0
abs,2015-10-01,p1.2,3241.0
abs,2015-10-01,p1.3,2156.0
abs,2015-10-01,p1.4,2812.0
abs,2015-10-01,p1.4.1,1792.0
abs,2015-10-01,p1.4.2,1020.0
abs,2015-10-01,p2,25825.0
abs,2015-10-01,p2.1,10565.0
abs,2015-10-01,p2.2,13234.0
abs,2015-10-01,p2.3,2026.0
abs,2015-10-01,p3,68667.0
abs,2015-10-01,p3.1,8463.0
abs,2015-10-01,p3.1.1,3054.0
abs,2015-10-01,p3.1.2,3560.0
abs,2015-10-01,p3.1.3,1107.0
abs,2015-10-01,p3.1.4,742.0
abs,2015-10-01,p3.2,1236.0
abs,2015-10-01,p3.2.1,1101.0
abs,2015-10-01,p3.2.2,135.0
abs,2015-10-01,p3.3,3591.0
abs,2015-10-01,p3.3.1,1716.0
abs,2015-10-01,p3.3.2,878.0
abs,2015-10-01,p3.3.3,997.0
abs,2015-10-01,p3.4,20708.0
abs,2015-10-01,p3.4.1,9026.0
abs,2015-10-01,p3.4.2,7607.0
abs,2015-10-01,p3.4.3,1915.0
abs,2015-10-01,p3.4.4,2160.0
abs,2015-10-01,p3.5,7637.0
abs,2015-10-01,p3.5.1,2555.0
abs,2015-10-01,p3.5.2,1788.0
abs,2015-10-01,p3.5.3,3294.0
abs,2015-10-01,p3.6,18410.0
abs,2015-10-01,p3.6.1,1745.0
abs,2015-10-01,p3.6.2,1414.0
abs,2015-10-01,p3.6.3,1408.0
abs,2015-10-01,p3.6.4,12472.0
abs,2015-10-01,p3.6.5,1371.0
abs,2015-10-01,p3.7,8622.0
abs,2015-10-01,p3.7.1,6568.0
abs,2015-10-01,p3.7.2,997.0
abs,2015-10-01,p3.7.3,1057.0
abs,2015-10-01,p4,14395.0
abs,2015-10-01,p4.1,8259.0
abs,2015-10-01,p4.1.1,4027.0
abs,2015-10-01,p4.1.2,4232.0
abs,2015-10-01,p4.2,3817.0
abs,2015-10-01,p4.3,2320.0
abs,2015-10-01,p5,172087.0
abs,2015-10-01,p5.1,35003.0
abs,2015-10-01,p5.1.1,6496.0
abs,2015-10-01,p5.1.2,1620.0
abs,2015-10-01,p5.1.3,11132.0
abs,2015-10-01,p5.1.4,15755.0
abs,2015-10-01,p5.2,60686.0
abs,2015-10-01,p5.2.1,50903.0
abs,2015-10-01,p5.2.1.1,22543.0
abs,2015-10-01,p5.2.1.2,22100.0
abs,2015-10-01,p5.2.1.3,6260.0
abs,2015-10-01,p5.2.2,7723.0
abs,2015-10-01,p5.2.3,2060.0
abs,2015-10-01,p5.3,33927.0
abs,2015-10-01,p5.3.1,15377.0
abs,2015-10-01,p5.3.2,5074.0
abs,2015-10-01,p5.3.3,4522.0
abs,2015-10-01,p5.3.4,8954.0
abs,2015-10-01,p5.4,14714.0
abs,2015-10-01,p5.4.1,2049.0
abs,2015-10-01,p5.4.2,2411.0
abs,2015-10-01,p5.4.6,10254.0
abs,2015-10-01,p5.5,27757.0
abs,2015-10-01,p6,4180.0
abs,2016-01-01,p0,295016.0
abs,2016-01-01,p1,22021.0
abs,2016-01-01,p1.1,13780.0
abs,2016-01-01,p1.1.1,771.0
abs,2016-01-01,p1.1.2,7277.0
abs,2016-01-01,p1.1.7,5732.0
abs,2016-01-01,p1.2,3240.0
abs,2016-01-01,p1.3,2108.0
abs,2016-01-01,p1.4,2892.0
abs,2016-01-01,p1.4.1,1966.0
abs,2016-01-01,p1.4.2,926.0
abs,2016-01-01,p2,26110.0
abs,2016-01-01,p2.1,11177.0
abs,2016-01-01,p2.2,12924.0
abs,2016-01-01,p2.3,2009.0
abs,2016-01-01,p3,64368.0
abs,2016-01-01,p3.1,7273.0
abs,2016-01-01,p3.1.1,2224.0
abs,2016-01-01,p3.1.2,3362.0
abs,2016-01-01,p3.1.3,946.0
abs,2016-01-01,p3.1.4,741.0
abs,2016-01-01,p3.2,1234.0
abs,2016-01-01,p3.2.1,1050.0
abs,2016-01-01,p3.2.2,184.0
abs,2016-01-01,p3.3,3627.0
abs,2016-01-01,p3.3.1,1662.0
abs,2016-01-01,p3.3.2,1044.0
abs,2016-01-01,p3.3.3,921.0
abs,2016-01-01,p3.4,18088.0
abs,2016-01-01,p3.4.1,7937.0
abs,2016-01-01,p3.4.2,6850.0
abs,2016-01-01,p3.4.3,1171.0
abs,2016-01-01,p3.4.4,2130.0
abs,2016-01-01,p3.5,7582.0
abs,2016-01-01,p3.5.1,2407.0
abs,2016-01-01,p3.5.2,1532.0
abs,2016-01-01,p3.5.3,3643.0
abs,2016-01-01,p3.6,19692.0
abs,2016-01-01,p3.6.1,2839.0
abs,2016-01-01,p3.6.2,1405.0
abs,2016-01-01,p3.6.3,1321.0
abs,2016-01-01,p3.6.4,13100.0
abs,2016-01-01,p3.6.5,1027.0
abs,2016-01-01,p3.7,6874.0
abs,2016-01-01,p3.7.1,4923.0
abs,2016-01-01,p3.7.2,1084.0
abs,2016-01-01,p3.7.3,867.0
abs,2016-01-01,p4,15250.0
abs,2016-01-01,p4.1,8011.0
abs,2016-01-01,p4.1.1,4256.0
abs,2016-01-01,p4.1.2,3755.0
abs,2016-01-01,p4.2,4551.0
abs,2016-01-01,p4.3,2688.0
abs,2016-01-01,p5,163132.0
abs,2016-01-01,p5.1,35191.0
abs,2016-01-01,p5.1.1,6431.0
abs,2016-01-01,p5.1.2,1473.0
abs,2016-01-01,p5.1.3,10942.0
abs,2016-01-01,p5.1.4,16345.0
abs,2016-01-01,p5.2,55180.0
abs,2016-01-01,p5.2.1,45651.0
abs,2016-01-01,p5.2.1.1,19494.0
abs,2016-01-01,p5.2.1.2,20947.0
abs,2016-01-01,p5.2.1.3,5210.0
abs,2016-01-01,p5.2.2,7563.0
abs,2016-01-01,p5.2.3,1966.0
abs,2016-01-01,p5.3,33359.0
abs,2016-01-01,p5.3.1,15063.0
abs,2016-01-01,p5.3.2,4855.0
abs,2016-01-01,p5.3.3,4560.0
abs,2016-01-01,p5.3.4,8881.0
abs,2016-01-01,p5.4,14931.0
abs,2016-01-01,p5.4.1,2072.0
abs,2016-01-01,p5.4.2,2364.0
abs,2016-01-01,p5.4.6,10495.0
abs,2016-01-01,p5.5,24473.0
abs,2016-01-01,p6,4136.0
abs,2016-04-01,p0,303738.0
abs,2016-04-01,p1,25438.0
abs,2016-04-01,p1.1,16753.0
abs,2016-04-01,p1.1.1,637.0
abs,2016-04-01,p1.1.2,9967.0
abs,2016-04-01,p1.1.7,6149.0
abs,2016-04-01,p1.2,3228.0
abs,2016-04-01,p1.3,2365.0
abs,2016-04-01,p1.4,3091.0
abs,2016-04-01,p1.4.1,2058.0
abs,2016-04-01,p1.4.2,1033.0
abs,2016-04-01,p2,25609.0
abs,2016-04-01,p2.1,11949.0
abs,2016-04-01,p2.2,11699.0
abs,2016-04-01,p2.3,1962.0
abs,2016-04-01,p3,67390.0
abs,2016-04-01,p3.1,8858.0
abs,2016-04-01,p3.1.1,2722.0
abs,2016-04-01,p3.1.2,3828.0
abs,2016-04-01,p3.1.3,1212.0
abs,2016-04-01,p3.1.4,1096.0
abs,2016-04-01,p3.2,1457.0
abs,2016-04-01,p3.2.1,1234.0
abs,2016-04-01,p3.2.2,223.0
abs,2016-04-01,p3.3,3765.0
abs,2016-04-01,p3.3.1,1712.0
abs,2016-04-01,p3.3.2,1123.0
abs,2016-04-01,p3.3.3,930.0
abs,2016-04-01,p3.4,18375.0
abs,2016-04-01,p3.4.1,7724.0
abs,2016-04-01,p3.4.2,6943.0
abs,2016-04-01,p3.4.3,1549.0
abs,2016-04-01,p3.4.4,2159.0
abs,2016-04-01,p3.5,9083.0
abs,2016-04-01,p3.5.1,2988.0
abs,2016-04-01,p3.5.2,2037.0
abs,2016-04-01,p3.5.3,4058.0
abs,2016-04-01,p3.6,18016.0
abs,2016-04-01,p3.6.1,2069.0
abs,2016-04-01,p3.6.2,1341.0
abs,2016-04-01,p3.6.3,1542.0
abs,2016-04-01,p3.6.4,11721.0
abs,2016-04-01,p3.6.5,1343.0
abs,2016-04-01,p3.7,7837.0
abs,2016-04-01,p3.7.1,5852.0
abs,2016-04-01,p3.7.2,1142.0
abs,2016-04-01,p3.7.3,843.0
abs,2016-04-01,p4,14455.0
abs,2016-04-01,p4.1,7602.0
abs,2016-04-01,p4.1.1,3958.0
abs,2016-04-01,p4.1.2,3644.0
abs,2016-04-01,p4.2,4294.0
abs,2016-04-01,p4.3,2559.0
abs,2016-04-01,p5,166798.0
abs,2016-04-01,p5.1,36377.0
abs,2016-04-01,p5.1.1,6741.0
abs,2016-04-01,p5.1.2,1577.0
abs,2016-04-01,p5.1.3,11044.0
abs,2016-04-01,p5.1.4,17015.0
abs,2016-04-01,p5.2,56232.0
abs,2016-04-01,p5.2.1,46542.0
abs,2016-04-01,p5.2.1.1,21285.0
abs,2016-04-01,p5.2.1.2,20035.0
abs,2016-04-01,p5.2.1.3,5222.0
abs,2016-04-01,p5.2.2,7643.0
abs,2016-04-01,p5.2.3,2047.0
abs,2016-04-01,p5.3,33761.0
abs,2016-04-01,p5.3.1,15058.0
abs,2016-04-01,p5.3.2,4759.0
abs,2016-04-01,p5.3.3,4685.0
abs,2016-04-01,p5.3.4,9259.0
abs,2016-04-01,p5.4,15279.0
abs,2016-04-01,p5.4.1,2240.0
abs,2016-04-01,p5.4.2,2413.0
abs,2016-04-01,p5.4.6,10626.0
abs,2016-04-01,p5.5,25149.0
abs,2016-04-01,p6,4048.0
abs,2016-07-01,p0,316737.0
abs,2016-07-01,p1,29824.0
abs,2016-07-01,p1.1,19631.0
abs,2016-07-01,p1.1.1,772.0
abs,2016-07-01,p1.1.2,12386.0
abs,2016-07-01,p1.1.7,6473.0
abs,2016-07-01,p1.2,3821.0
abs,2016-07-01,p1.3,2550.0
abs,2016-07-01,p1.4,3822.0
abs,2016-07-01,p1.4.1,2636.0
abs,2016-07-01,p1.4.2,1186.0
abs,2016-07-01,p2,23625.0
abs,2016-07-01,p2.1,10872.0
abs,2016-07-01,p2.2,10747.0
abs,2016-07-01,p2.3,2007.0
abs,2016-07-01,p3,68378.0
abs,2016-07-01,p3.1,9085.0
abs,2016-07-01,p3.1.1,3215.0
abs,2016-07-01,p3.1.2,3698.0
abs,2016-07-01,p3.1.3,1186.0
abs,2016-07-01,p3.1.4,986.0
abs,2016-07-01,p3.2,1335.0
abs,2016-07-01,p3.2.1,1158.0
abs,2016-07-01,p3.2.2,177.0
abs,2016-07-01,p3.3,3804.0
abs,2016-07-01,p3.3.1,1818.0
abs,2016-07-01,p3.3.2,1121.0
abs,2016-07-01,p3.3.3,865.0
abs,2016-07-01,p3.4,20170.0
abs,2016-07-01,p3.4.1,7751.0
abs,2016-07-01,p3.4.2,7649.0
abs,2016-07-01,p3.4.3,1934.0
abs,2016-07-01,p3.4.4,2836.0
abs,2016-07-01,p3.5,8457.0
abs,2016-07-01,p3.5.1,2931.0
abs,2016-07-01,p3.5.2,1973.0
abs,2016-07-01,p3.5.3,3553.0
abs,2016-07-01,p3.6,18241.0
abs,2016-07-01,p3.6.1,2002.0
abs,2016-07-01,p3.6.2,1344.0
abs,2016-07-01,p3.6.3,1194.0
abs,2016-07-01,p3.6.4,12438.0
abs,2016-07-01,p3.6.5,1263.0
abs,2016-07-01,p3.7,7288.0
abs,2016-07-01,p3.7.1,5219.0
abs,2016-07-01,p3.7.2,994.0
abs,2016-07-01,p3.7.3,1075.0
abs,2016-07-01,p4,15866.0
abs,2016-07-01,p4.1,8271.0
abs,2016-07-01,p4.1.1,4414.0
abs,2016-07-01,p4.1.2,3857.0
abs,2016-07-01,p4.2,5038.0
abs,2016-07-01,p4.3,2557.0
abs,2016-07-01,p5,175095.0
abs,2016-07-01,p5.1,37215.0
abs,2016-07-01,p5.1.1,6913.0
abs,2016-07-01,p5.1.2,1709.0
abs,2016-07-01,p5.1.3,11305.0
abs,2016-07-01,p5.1.4,17288.0
abs,2016-07-01,p5.2,60977.0
abs,2016-07-01,p5.2.1,50927.0
abs,2016-07-01,p5.2.1.1,23240.0
abs,2016-07-01,p5.2.1.2,21272.0
abs,2016-07-01,p5.2.1.3,6415.0
abs,2016-07-01,p5.2.2,7872.0
abs,2016-07-01,p5.2.3,2178.0
abs,2016-07-01,p5.3,34355.0
abs,2016-07-01,p5.3.1,15370.0
abs,2016-07-01,p5.3.2,5016.0
abs,2016-07-01,p5.3.3,4836.0
abs,2016-07-01,p5.3.4,9133.0
abs,2016-07-01,p5.4,15591.0
abs,2016-07-01,p5.4.1,2225.0
abs,2016-07-01,p5.4.2,2637.0
abs,2016-07-01,p5.4.6,10729.0
abs,2016-07-01,p5.5,26957.0
abs,2016-07-01,p6,3948.0
abs,2016-10-01,p0,334206.0
abs,2016-10-01,p1,28472.0
abs,2016-10-01,p1.1,19992.0
abs,2016-10-01,p1.1.1,1368.0
abs,2016-10-01,p1.1.2,13137.0
abs,2016-10-01,p1.1.7,5487.0
abs,2016-10-01,p1.2,3437.0
abs,2016-10-01,p1.3,2222.0
abs,2016-10-01,p1.4,2821.0
abs,2016-10-01,p1.4.1,1867.0
abs,2016-10-01,p1.4.2,954.0
abs,2016-10-01,p2,28614.0
abs,2016-10-01,p2.1,12025.0
abs,2016-10-01,p2.2,14353.0
abs,2016-10-01,p2.3,2237.0
abs,2016-10-01,p3,72260.0
abs,2016-10-01,p3.1,9459.0
abs,2016-10-01,p3.1.1,3886.0
abs,2016-10-01,p3.1.2,3620.0
abs,2016-10-01,p3.1.3,1220.0
abs,2016-10-01,p3.1.4,733.0
abs,2016-10-01,p3.2,1294.0
abs,2016-10-01,p3.2.1,1146.0
abs,2016-10-01,p3.2.2,148.0
abs,2016-10-01,p3.3,3769.0
abs,2016-10-01,p3.3.1,1762.0
abs,2016-10-01,p3.3.2,908.0
abs,2016-10-01,p3.3.3,1099.0
abs,2016-10-01,p3.4,21517.0
abs,2016-10-01,p3.4.1,8992.0
abs,2016-10-01,p3.4.2,8206.0
abs,2016-10-01,p3.4.3,2005.0
abs,2016-10-01,p3.4.4,2314.0
abs,2016-10-01,p3.5,8077.0
abs,2016-10-01,p3.5.1,2673.0
abs,2016-10-01,p3.5.2,1929.0
abs,2016-10-01,p3.5.3,3475.0
abs,2016-10-01,p3.6,19629.0
abs,2016-10-01,p3.6.1,1849.0
abs,2016-10-01,p3.6.2,1510.0
abs,2016-10-01,p3.6.3,1485.0
abs,2016-10-01,p3.6.4,13436.0
abs,2016-10-01,p3.6.5,1349.0
abs,2016-10-01,p3.7,8517.0
abs,2016-10-01,p3.7.1,6368.0
abs,2016-10-01,p3.7.2,1069.0
abs,2016-10-01,p3.7.3,1080.0
abs,2016-10-01,p4,15518.0
abs,2016-10-01,p4.1,8757.0
abs,2016-10-01,p4.1.1,4399.0
abs,2016-10-01,p4.1.2,4358.0
abs,2016-10-01,p4.2,4328.0
abs,2016-10-01,p4.3,2434.0
abs,2016-10-01,p5,184945.0
abs,2016-10-01,p5.1,37668.0
abs,2016-10-01,p5.1.1,6870.0
abs,2016-10-01,p5.1.2,1772.0
abs,2016-10-01,p5.1.3,11944.0
abs,2016-10-01,p5.1.4,17082.0
abs,2016-10-01,p5.2,65919.0
abs,2016-10-01,p5.2.1,55034.0
abs,2016-10-01,p5.2.1.1,24341.0
abs,2016-10-01,p5.2.1.2,24432.0
abs,2016-10-01,p5.2.1.3,6261.0
abs,2016-10-01,p5.2.2,8668.0
abs,2016-10-01,p5.2.3,2217.0
abs,2016-10-01,p5.3,36056.0
abs,2016-10-01,p5.3.1,16016.0
abs,2016-10-01,p5.3.2,5320.0
abs,2016-10-01,p5.3.3,4893.0
abs,2016-10-01,p5.3.4,9827.0
abs,2016-10-01,p5.4,15658.0
abs,2016-10-01,p5.4.1,2237.0
abs,2016-10-01,p5.4.2,2615.0
abs,2016-10-01,p5.4.6,10806.0
abs,2016-10-01,p5.5,29643.0
abs,2016-10-01,p6,4398.0
abs,2017-01-01,p0,328713.0
abs,2017-01-01,p1,27748.0
abs,2017-01-01,p1.1,19427.0
abs,2017-01-01,p1.1.1,2018.0
abs,2017-01-01,p1.1.2,11354.0
abs,2017-01-01,p1.1.7,6055.0
abs,2017-01-01,p1.2,3514.0
abs,2017-01-01,p1.3,1837.0
abs,2017-01-01,p1.4,2971.0
abs,2017-01-01,p1.4.1,2109.0
abs,2017-01-01,p1.4.2,862.0
abs,2017-01-01,p2,32141.0
abs,2017-01-01,p2.1,16323.0
abs,2017-01-01,p2.2,13589.0
abs,2017-01-01,p2.3,2228.0
abs,2017-01-01,p3,70892.0
abs,2017-01-01,p3.1,8416.0
abs,2017-01-01,p3.1.1,2998.0
abs,2017-01-01,p3.1.2,3593.0
abs,2017-01-01,p3.1.3,1060.0
abs,2017-01-01,p3.1.4,765.0
abs,2017-01-01,p3.2,1308.0
abs,2017-01-01,p3.2.1,1121.0
abs,2017-01-01,p3.2.2,187.0
abs,2017-01-01,p3.3,3934.0
abs,2017-01-01,p3.3.1,1786.0
abs,2017-01-01,p3.3.2,1149.0
abs,2017-01-01,p3.3.3,999.0
abs,2017-01-01,p3.4,20487.0
abs,2017-01-01,p3.4.1,9405.0
abs,2017-01-01,p3.4.2,7444.0
abs,2017-01-01,p3.4.3,1435.0
abs,2017-01-01,p3.4.4,2203.0
abs,2017-01-01,p3.5,8022.0
abs,2017-01-01,p3.5.1,2476.0
abs,2017-01-01,p3.5.2,1718.0
abs,2017-01-01,p3.5.3,3828.0
abs,2017-01-01,p3.6,21281.0
abs,2017-01-01,p3.6.1,3056.0
abs,2017-01-01,p3.6.2,1412.0
abs,2017-01-01,p3.6.3,1519.0
abs,2017-01-01,p3.6.4,14281.0
abs,2017-01-01,p3.6.5,1013.0
abs,2017-01-01,p3.7,7444.0
abs,2017-01-01,p3.7.1,5354.0
abs,2017-01-01,p3.7.2,1226.0
abs,2017-01-01,p3.7.3,864.0
abs,2017-01-01,p4,16659.0
