series,date,sector,value
abs,2020-07-01,p1,32418.0
abs,2020-07-01,p2,21224.0
abs,2020-07-01,p3,83927.0
abs,2020-07-01,p4,15938.0
abs,2020-07-01,p5,211263.0
abs,2020-07-01,p6,3979.0
abs,2020-10-01,p0,379358.0
abs,2020-10-01,p1,31566.0
abs,2020-10-01,p2,22736.0
abs,2020-10-01,p3,86181.0
abs,2020-10-01,p4,15195.0
abs,2020-10-01,p5,218974.0
abs,2020-10-01,p6,4705.0
abs,2021-01-01,p0,371270.0
abs,2021-01-01,p1,30066.0
abs,2021-01-01,p2,29823.0
abs,2021-01-01,p3,85276.0
abs,2021-01-01,p4,15081.0
abs,2021-01-01,p5,206864.0
abs,2021-01-01,p6,4160.0
abs,2021-04-01,p0,374428.0
abs,2021-04-01,p1,34743.0
abs,2021-04-01,p2,32231.0
abs,2021-04-01,p3,86697.0
abs,2021-04-01,p4,13841.0
abs,2021-04-01,p5,202321.0
abs,2021-04-01,p6,4594.0
abs,2021-07-01,p0,378487.0
abs,2021-07-01,p1,40420.0
abs,2021-07-01,p2,28644.0
abs,2021-07-01,p3,89026.0
abs,2021-07-01,p4,12929.0
abs,2021-07-01,p5,203751.0
abs,2021-07-01,p6,3716.0
abs,2021-10-01,p0,424517.0
abs,2021-10-01,p1,42924.0
abs,2021-10-01,p2,33657.0
abs,2021-10-01,p3,100826.0
abs,2021-10-01,p4,13803.0
abs,2021-10-01,p5,228755.0
abs,2021-10-01,p6,4552.0
abs,2022-01-01,p0,422454.0
abs,2022-01-01,p1,38698.0
abs,2022-01-01,p2,42941.0
abs,2022-01-01,p3,97528.0
abs,2022-01-01,p4,14804.0
abs,2022-01-01,p5,224339.0
abs,2022-01-01,p6,4144.0
abs,2022-04-01,p0,445013.0
abs,2022-04-01,p1,44133.0
abs,2022-04-01,p2,47473.0
abs,2022-04-01,p3,101880.0
abs,2022-04-01,p4,14886.0
abs,2022-04-01,p5,231735.0
abs,2022-04-01,p6,4905.0
abs,2022-07-01,p0,458256.0
abs,2022-07-01,p1,40425.0
abs,2022-07-01,p2,44716.0
abs,2022-07-01,p3,108175.0
abs,2022-07-01,p4,15544.0
abs,2022-07-01,p5,244669.0
abs,2022-07-01,p6,4728.0
abs,2022-10-01,p0,468181.0
abs,2022-10-01,p1,37311.0
abs,2022-10-01,p2,43309.0
abs,2022-10-01,p3,110954.0
abs,2022-10-01,p4,15576.0
abs,2022-10-01,p5,255994.0
abs,2022-10-01,p6,5036.0
abs,2023-01-01,p0,443332.0
abs,2023-01-01,p1,31153.0
abs,2023-01-01,p2,42277.0
abs,2023-01-01,p3,103832.0
abs,2023-01-01,p4,16158.0
abs,2023-01-01,p5,245339.0
abs,2023-01-01,p6,4573.0
abs,2023-04-01,p0,439683.0
abs,2023-04-01,p1,32679.0
abs,2023-04-01,p2,38913.0
abs,2023-04-01,p3,101332.0
abs,2023-04-01,p4,16183.0
abs,2023-04-01,p5,245393.0
abs,2023-04-01,p6,5184.0
abs,2023-07-01,p0,463163.0
abs,2023-07-01,p1,40404.0
abs,2023-07-01,p2,35638.0
abs,2023-07-01,p3,105701.0
