series,date,type,value
abs,2016-04-01,e1,166337.0
abs,2016-04-01,e1.1.01,36795.0
abs,2016-04-01,e1.1.03,5153.0
abs,2016-04-01,e1.1.04,27335.0
abs,2016-04-01,e1.1.05,8983.0
abs,2016-04-01,e1.1.07,20076.0
abs,2016-04-01,e1.1.08,13606.0
abs,2016-04-01,e1.1.09,11085.0
abs,2016-04-01,e1.1.11,17504.0
abs,2016-04-01,e1.1.12,25800.0
abs,2016-04-01,e2,37213.0
abs,2016-04-01,e3,84201.0
abs,2016-04-01,e3.1,84201.0
abs,2016-04-01,e3.1.1,49399.0
abs,2016-04-01,e3.1.2,27164.0
abs,2016-04-01,e3.1.3,7638.0
abs,2016-04-01,e3.2,84201.0
abs,2016-04-01,e3.2.1,22700.0
abs,2016-04-01,e3.2.2,61501.0
abs,2016-04-01,e4,-301.0
abs,2016-04-01,e5,199691.0
abs,2016-04-01,e5.1,162856.0
abs,2016-04-01,e5.2,36835.0
abs,2016-04-01,e6,183403.0
abs,2016-04-01,e6.1,142822.0
abs,2016-04-01,e6.2,40581.0
abs,2016-07-01,e0,316737.0
abs,2016-07-01,e1,178505.0
abs,2016-07-01,e1.1.01,41053.0
abs,2016-07-01,e1.1.03,6258.0
abs,2016-07-01,e1.1.04,27608.0
abs,2016-07-01,e1.1.05,9683.0
abs,2016-07-01,e1.1.07,23260.0
abs,2016-07-01,e1.1.08,13588.0
abs,2016-07-01,e1.1.09,11847.0
abs,2016-07-01,e1.1.11,18134.0
abs,2016-07-01,e1.1.12,27075.0
abs,2016-07-01,e2,37095.0
abs,2016-07-01,e3,79108.0
abs,2016-07-01,e3.1,79107.0
abs,2016-07-01,e3.1.1,47058.0
abs,2016-07-01,e3.1.2,25777.0
abs,2016-07-01,e3.1.3,6272.0
abs,2016-07-01,e3.2,79109.0
abs,2016-07-01,e3.2.1,23412.0
abs,2016-07-01,e3.2.2,55697.0
abs,2016-07-01,e4,-973.0
abs,2016-07-01,e5,209549.0
abs,2016-07-01,e5.1,172978.0
abs,2016-07-01,e5.2,36571.0
abs,2016-07-01,e6,186547.0
abs,2016-07-01,e6.1,145732.0
abs,2016-07-01,e6.2,40815.0
abs,2016-10-01,e0,334206.0
abs,2016-10-01,e1,175358.0
abs,2016-10-01,e1.1.01,38433.0
abs,2016-10-01,e1.1.03,5911.0
abs,2016-10-01,e1.1.04,26446.0
abs,2016-10-01,e1.1.05,9124.0
abs,2016-10-01,e1.1.07,23786.0
abs,2016-10-01,e1.1.08,13694.0
abs,2016-10-01,e1.1.09,12783.0
abs,2016-10-01,e1.1.11,19714.0
abs,2016-10-01,e1.1.12,25466.0
abs,2016-10-01,e2,48790.0
abs,2016-10-01,e3,78335.0
abs,2016-10-01,e3.1,78335.0
abs,2016-10-01,e3.1.1,44843.0
abs,2016-10-01,e3.1.2,26677.0
abs,2016-10-01,e3.1.3,6815.0
abs,2016-10-01,e3.2,78334.0
abs,2016-10-01,e3.2.1,37829.0
abs,2016-10-01,e3.2.2,40505.0
abs,2016-10-01,e4,5574.0
abs,2016-10-01,e5,228227.0
abs,2016-10-01,e5.1,190235.0
abs,2016-10-01,e5.2,37992.0
abs,2016-10-01,e6,202077.0
abs,2016-10-01,e6.1,158646.0
abs,2016-10-01,e6.2,43431.0
abs,2017-01-01,e0,328713.0
abs,2017-01-01,e1,182571.0
abs,2017-01-01,e1.1.01,41743.0
abs,2017-01-01,e1.1.03,5172.0
abs,2017-01-01,e1.1.04,28736.0
abs,2017-01-01,e1.1.05,9763.0
abs,2017-01-01,e1.1.07,25701.0
abs,2017-01-01,e1.1.08,14795.0
abs,2017-01-01,e1.1.09,11455.0
abs,2017-01-01,e1.1.11,19246.0
abs,2017-01-01,e1.1.12,25959.0
abs,2017-01-01,e2,37063.0
abs,2017-01-01,e3,86106.0
abs,2017-01-01,e3.1,86107.0
abs,2017-01-01,e3.1.1,49016.0
abs,2017-01-01,e3.1.2,30606.0
abs,2017-01-01,e3.1.3,6485.0
abs,2017-01-01,e3.2,86106.0
abs,2017-01-01,e3.2.1,24572.0
abs,2017-01-01,e3.2.2,61534.0
abs,2017-01-01,e4,3661.0
abs,2017-01-01,e5,231567.0
abs,2017-01-01,e5.1,194451.0
abs,2017-01-01,e5.2,37116.0
abs,2017-01-01,e6,212255.0
abs,2017-01-01,e6.1,169137.0
abs,2017-01-01,e6.2,43119.0
abs,2017-04-01,e0,334692.0
abs,2017-04-01,e1,184594.0
abs,2017-04-01,e1.1.01,41299.0
abs,2017-04-01,e1.1.03,5772.0
abs,2017-04-01,e1.1.04,29114.0
abs,2017-04-01,e1.1.05,9756.0
abs,2017-04-01,e1.1.07,23775.0
abs,2017-04-01,e1.1.08,15095.0
abs,2017-04-01,e1.1.09,11997.0
abs,2017-04-01,e1.1.11,19443.0
abs,2017-04-01,e1.1.12,28345.0
abs,2017-04-01,e2,39017.0
abs,2017-04-01,e3,89172.0
abs,2017-04-01,e3.1,89173.0
abs,2017-04-01,e3.1.1,52928.0
abs,2017-04-01,e3.1.2,28703.0
abs,2017-04-01,e3.1.3,7542.0
abs,2017-04-01,e3.2,89173.0
abs,2017-04-01,e3.2.1,22115.0
abs,2017-04-01,e3.2.2,67058.0
abs,2017-04-01,e4,-742.0
abs,2017-04-01,e5,234846.0
abs,2017-04-01,e5.1,194616.0
abs,2017-04-01,e5.2,40230.0
abs,2017-04-01,e6,212196.0
abs,2017-04-01,e6.1,167240.0
abs,2017-04-01,e6.2,44956.0
abs,2017-07-01,e0,347646.0
abs,2017-07-01,e1,198415.0
abs,2017-07-01,e1.1.01,46243.0
abs,2017-07-01,e1.1.03,7033.0
abs,2017-07-01,e1.1.04,29876.0
abs,2017-07-01,e1.1.05,10635.0
abs,2017-07-01,e1.1.07,27236.0
abs,2017-07-01,e1.1.08,15140.0
abs,2017-07-01,e1.1.09,12813.0
abs,2017-07-01,e1.1.11,20276.0
abs,2017-07-01,e1.1.12,29163.0
abs,2017-07-01,e2,38817.0
abs,2017-07-01,e3,85880.0
abs,2017-07-01,e3.1,85880.0
abs,2017-07-01,e3.1.1,49994.0
abs,2017-07-01,e3.1.2,29083.0
abs,2017-07-01,e3.1.3,6803.0
abs,2017-07-01,e3.2,85880.0
abs,2017-07-01,e3.2.1,24967.0
abs,2017-07-01,e3.2.2,60913.0
abs,2017-07-01,e4,-2051.0
abs,2017-07-01,e5,245640.0
abs,2017-07-01,e5.1,204489.0
abs,2017-07-01,e5.2,41151.0
abs,2017-07-01,e6,219056.0
abs,2017-07-01,e6.1,172909.0
abs,2017-07-01,e6.2,46146.0
abs,2017-10-01,e0,361259.0
abs,2017-10-01,e1,194566.0
abs,2017-10-01,e1.1.01,43077.0
abs,2017-10-01,e1.1.03,6553.0
abs,2017-10-01,e1.1.04,28513.0
abs,2017-10-01,e1.1.05,9868.0
abs,2017-10-01,e1.1.07,27518.0
abs,2017-10-01,e1.1.08,15153.0
abs,2017-10-01,e1.1.09,13823.0
abs,2017-10-01,e1.1.11,22118.0
abs,2017-10-01,e1.1.12,27943.0
abs,2017-10-01,e2,52423.0
abs,2017-10-01,e3,82783.0
abs,2017-10-01,e3.1,82783.0
abs,2017-10-01,e3.1.1,47288.0
abs,2017-10-01,e3.1.2,28930.0
abs,2017-10-01,e3.1.3,6565.0
abs,2017-10-01,e3.2,82783.0
abs,2017-10-01,e3.2.1,37768.0
abs,2017-10-01,e3.2.2,45015.0
abs,2017-10-01,e4,5778.0
abs,2017-10-01,e5,248726.0
abs,2017-10-01,e5.1,207839.0
abs,2017-10-01,e5.2,40887.0
abs,2017-10-01,e6,223017.0
abs,2017-10-01,e6.1,174995.0
abs,2017-10-01,e6.2,48022.0
abs,2018-01-01,e0,346709.0
abs,2018-01-01,e1,198561.0
abs,2018-01-01,e1.1.01,45646.0
abs,2018-01-01,e1.1.03,5732.0
abs,2018-01-01,e1.1.04,30715.0
abs,2018-01-01,e1.1.05,10544.0
abs,2018-01-01,e1.1.07,26804.0
abs,2018-01-01,e1.1.08,16304.0
abs,2018-01-01,e1.1.09,12310.0
abs,2018-01-01,e1.1.11,21358.0
abs,2018-01-01,e1.1.12,29147.0
abs,2018-01-01,e2,37329.0
abs,2018-01-01,e3,86713.0
abs,2018-01-01,e3.1,86712.0
abs,2018-01-01,e3.1.1,50822.0
abs,2018-01-01,e3.1.2,29305.0
abs,2018-01-01,e3.1.3,6585.0
abs,2018-01-01,e3.2,86713.0
abs,2018-01-01,e3.2.1,24912.0
abs,2018-01-01,e3.2.2,61801.0
abs,2018-01-01,e4,-3742.0
abs,2018-01-01,e5,237090.0
abs,2018-01-01,e5.1,198572.0
abs,2018-01-01,e5.2,38518.0
abs,2018-01-01,e6,209241.0
abs,2018-01-01,e6.1,164965.0
abs,2018-01-01,e6.2,44276.0
abs,2018-04-01,e0,353933.0
abs,2018-04-01,e1,202224.0
abs,2018-04-01,e1.1.01,45473.0
abs,2018-04-01,e1.1.03,6391.0
abs,2018-04-01,e1.1.04,31293.0
abs,2018-04-01,e1.1.05,10594.0
abs,2018-04-01,e1.1.07,25012.0
abs,2018-04-01,e1.1.08,16719.0
abs,2018-04-01,e1.1.09,12991.0
abs,2018-04-01,e1.1.11,21857.0
abs,2018-04-01,e1.1.12,31894.0
abs,2018-04-01,e2,40383.0
abs,2018-04-01,e3,91122.0
abs,2018-04-01,e3.1,91122.0
abs,2018-04-01,e3.1.1,54819.0
abs,2018-04-01,e3.1.2,28975.0
abs,2018-04-01,e3.1.3,7328.0
abs,2018-04-01,e3.2,91122.0
abs,2018-04-01,e3.2.1,20031.0
abs,2018-04-01,e3.2.2,71091.0
abs,2018-04-01,e4,1088.0
abs,2018-04-01,e5,241232.0
abs,2018-04-01,e5.1,201331.0
abs,2018-04-01,e5.2,39900.0
abs,2018-04-01,e6,222116.0
abs,2018-04-01,e6.1,176759.0
abs,2018-04-01,e6.2,45357.0
abs,2018-07-01,e0,367918.0
abs,2018-07-01,e1,217975.0
abs,2018-07-01,e1.1.01,51309.0
abs,2018-07-01,e1.1.03,7919.0
abs,2018-07-01,e1.1.04,32144.0
abs,2018-07-01,e1.1.05,11552.0
abs,2018-07-01,e1.1.07,29214.0
abs,2018-07-01,e1.1.08,16692.0
abs,2018-07-01,e1.1.09,13934.0
abs,2018-07-01,e1.1.11,22744.0
abs,2018-07-01,e1.1.12,32466.0
abs,2018-07-01,e2,40896.0
abs,2018-07-01,e3,88494.0
abs,2018-07-01,e3.1,88493.0
abs,2018-07-01,e3.1.1,51377.0
abs,2018-07-01,e3.1.2,30299.0
abs,2018-07-01,e3.1.3,6817.0
abs,2018-07-01,e3.2,88493.0
abs,2018-07-01,e3.2.1,24803.0
abs,2018-07-01,e3.2.2,63690.0
abs,2018-07-01,e4,-1467.0
abs,2018-07-01,e5,252774.0
abs,2018-07-01,e5.1,211017.0
abs,2018-07-01,e5.2,41756.0
abs,2018-07-01,e6,230754.0
abs,2018-07-01,e6.1,186240.0
abs,2018-07-01,e6.2,44513.0
abs,2018-10-01,e0,379200.0
abs,2018-10-01,e1,212628.0
abs,2018-10-01,e1.1.01,47782.0
abs,2018-10-01,e1.1.03,7373.0
abs,2018-10-01,e1.1.04,30667.0
abs,2018-10-01,e1.1.05,10712.0
abs,2018-10-01,e1.1.07,28984.0
abs,2018-10-01,e1.1.08,16734.0
abs,2018-10-01,e1.1.09,15134.0
abs,2018-10-01,e1.1.11,24889.0
abs,2018-10-01,e1.1.12,30352.0
abs,2018-10-01,e2,54682.0
abs,2018-10-01,e3,84036.0
abs,2018-10-01,e3.1,84036.0
abs,2018-10-01,e3.1.1,48341.0
abs,2018-10-01,e3.1.2,28768.0
abs,2018-10-01,e3.1.3,6927.0
abs,2018-10-01,e3.2,84036.0
abs,2018-10-01,e3.2.1,34800.0
abs,2018-10-01,e3.2.2,49236.0
abs,2018-10-01,e4,-267.0
abs,2018-10-01,e5,261416.0
abs,2018-10-01,e5.1,219216.0
abs,2018-10-01,e5.2,42199.0
abs,2018-10-01,e6,233295.0
abs,2018-10-01,e6.1,187552.0
abs,2018-10-01,e6.2,45743.0
abs,2019-01-01,e0,362512.0
abs,2019-01-01,e1,215316.0
abs,2019-01-01,e1.1.01,50444.0
abs,2019-01-01,e1.1.03,6413.0
abs,2019-01-01,e1.1.04,32946.0
abs,2019-01-01,e1.1.05,11417.0
abs,2019-01-01,e1.1.07,28296.0
abs,2019-01-01,e1.1.08,17897.0
abs,2019-01-01,e1.1.09,13450.0
abs,2019-01-01,e1.1.11,24067.0
abs,2019-01-01,e1.1.12,30387.0
abs,2019-01-01,e2,39385.0
abs,2019-01-01,e3,84364.0
abs,2019-01-01,e3.1,84364.0
abs,2019-01-01,e3.1.1,50490.0
abs,2019-01-01,e3.1.2,27340.0
abs,2019-01-01,e3.1.3,6534.0
